module style:381; drdy:True;   burst read:False; single read:True 
time:1.21992 PRODUCT_ID1_____________________________0x56    read value: 0x38        
time:1.229865 PRODUCT_ID2_____________________________0x57    read value: 0x10        
time:1.239798 STATUS__________________________________0x3C    read value: 0x0         
time:1.249724 SELF_TEST_______________________________0x34    read value: 0x0         
time:1.259686 DATA_READY______________________________0x35    read value: 0x4         
time:1.269611 PRODUCT_ID1_____________________________0x56    read value: 0x38        
time:1.279629 PRODUCT_ID2_____________________________0x57    read value: 0x10        
time:1.289526 STATUS__________________________________0x3C    read value: 0x0         
time:1.299477 SELF_TEST_______________________________0x34    read value: 0x0         
time:1.309616 DATA_READY______________________________0x35    read value: 0x4         
time:1.319512 PRODUCT_ID1_____________________________0x56    read value: 0x38        
